shape,x,y
1,-11,4.5
1,-10.5,5.5
1,-9,4.5
1,-10,3.5
2,-9,4.5
2,-8.5,3.5
2,-8,2
2,-7.5,1
2,-8.5,0.5
2,-9,1
2,-10,2
2,-11,3.5
2,-11.5,5
2,-11,6
2,-10,6.5
2,-9.5,6.5
2,-9,6
2,-8.5,5
2,-8.5,3.5
3,-8,2
3,-7.5,2.5
3,-7,3.5
3,-6.5,5
3,-7.5,7
3,-8,7
3,-9.5,6.5
3,-9.5,7
3,-11,9.5
3,-11,11.5
3,-10,13
3,-8,15
3,-5.5,17
3,-3.5,18
3,-1,19
3,1,19
3,4,17.5
3,6,15.5
3,7,14
3,7.5,12
3,7.5,10
3,6.5,9.5
3,5,10.5
3,3.5,11
3,-1.5,11
3,-4,10
3,-8,7.5
3,-8,7
4,-1.5,11
4,-2.5,12
4,-2.5,13.5
4,-2,14.5
4,-1,15
4,0,15.5
4,2,15.5
4,3.5,15
4,4,14
4,4,13
4,3.5,12
4,3.5,11
5,-0.5,11.5
5,-1.5,12
5,0,15
5,1,14
5,1.5,15
5,3.5,12.5
5,2.5,11.5
5,1.5,13.5
5,1,12.5
5,0,13.5
5,-0.5,11.5
6,-7.5,1
6,-7,0
6,-6,-1.5
6,-5,-2
6,-4,-2.5
6,-2.5,-2.5
6,-2,-3.5
6,-1,-3.5
6,-0.5,-4
6,0,-4
6,1,-4
6,2.5,-3
6,3.5,-2.5
6,4,-1.5
6,5.5,0
6,6,1
6,6.5,2
6,6.5,3.5
6,6.5,4
6,6,5
6,5.5,6.5
6,5.5,7.5
6,4,7.5
6,2,7.5
6,0,7.5
6,-1.5,7.5
6,-4,7.5
6,-5,7.5
6,-8,7.5
6,-5.5,8.5
6,-1.5,8.5
6,2.5,8.5
6,5.5,8.5
6,6,8
6,5.5,7.5
7,-2,2
7,-5,3
7,-5.5,2
7,-5,1
7,-4,0
7,-3.5,-0.5
7,-3,-1
7,-2,-1
7,-1.5,-0.5
7,-1,-1.5
7,0,-2
7,1,-2
7,1.5,-1.5
7,3,-1.5
7,3.5,-0.5
7,4,-0.5
7,4.5,0
7,5.5,1.5
7,6,2
7,6,4
7,5.5,4.5
7,5,3.5
7,5,2
7,4.5,0.5
7,3.5,-0.5
7,1.5,-1
7,0,-0.5
7,-1.5,1
7,-2,2
7,-1,3
7,0,4.5
7,1,5
7,1.5,5
7,2.5,5
7,3,4.5
7,4.5,4.5
7,5,3.5
8,-4,7.5
8,-5,6.5
8,-4,7
8,-3.5,7
8,-2,7
8,-0.5,6.5
8,-1.5,7.5
9,-4,7
9,-4.5,6
9,-4.5,5
9,-4,4
9,-3.5,3
9,-1.5,3
9,-1,4
9,-1,6
9,-2,7
10,-3.5,7
10,-4,6
10,-4,5
10,-3.5,4.5
10,-2.5,4
10,-1.5,4.5
10,-1.5,5
10,-1.5,6
10,-2,7
11,-3,6.5
11,-3.5,6
11,-3.5,5.5
11,-2.5,5
11,-2,5.5
11,-2,6.5
11,-3,6.5
12,2,7.5
12,1,6.5
12,1.5,6.5
12,2,7
12,2.5,7.5
13,1.5,6.5
13,1.5,5
14,2,7
14,2,5.5
14,2.5,5
14,3,5
14,4,5.5
14,4,7
14,3.5,7.5
15,3,7.5
15,2.5,7
15,2.5,6
15,3,5.5
15,3.5,6
15,3.5,7
15,3,7.5
16,4,7.5
16,4.5,7
16,4.5,5
16,4.5,4.5
17,6.5,4
17,7,3
17,7.5,2.5
17,7.5,1
17,6,1
18,7.5,1
18,8,0.5
18,8,-0.5
18,9,-2.5
19,8,0.5
19,9,0
19,10.5,0
19,12,0.5
19,13,2
19,13.5,1
19,12.5,0
19,11.5,-0.5
19,10,-1
19,9,0
20,12.5,0
20,12,-2.5
20,11,-3
20,6.5,-4
21,13,2
21,13,5
21,12,8
21,9.5,10.5
21,7.5,10
22,6.5,9.5
22,6,9.5
22,5.5,8.5
22,6,8
22,6.5,7.5
23,11,8
23,10,8.5
23,8,8.5
23,6.5,7.5
23,6,7
23,6,6
23,7,5.5
23,8.5,6.5
23,10,7
23,11.5,6
24,7,5.5
24,7,4.5
24,7.5,4
24,8,5
24,10,5
24,11,4.5
25,7.5,4
25,7.5,3.5
25,9,3
25,10,2.5
26,4,-1.5
26,5.5,-2
26,6.5,-4
26,7,-5
26,7.5,-6
26,8,-7
26,7.5,-8
26,6,-7
26,5.5,-5.5
26,5.5,-4.5
26,5,-4
26,3.5,-2.5
27,7,-5
27,6,-4.5
27,6,-5.5
27,6.5,-6.5
27,7.5,-7
27,8,-7
28,0,-4
28,1,-5.5
28,2,-6.5
28,3,-7
28,4,-6
28,5.5,-4.5
29,1,-5.5
29,2,-7
29,3,-7.5
29,4,-7
29,5.5,-5.5
30,2,-7
30,3,-9.5
30,1.5,-11.5
30,-0.5,-10.5
30,-1,-9
30,-1,-8
30,-2,-6
30,-3,-4
30,-4,-2.5
31,0.5,-8
31,1.5,-8
31,2,-8.5
31,2.5,-9.5
31,2,-10
31,1.5,-10.5
31,0.5,-10.5
31,0,-10
31,0,-9
31,0.5,-8
32,-3.5,-7
32,-5.5,-8.5
32,-5,-9.5
32,-4.5,-10
32,-3.5,-10
32,-2,-9
32,-1,-8
33,-6,-13
33,-5,-9.5
33,-4.5,-11
33,-3.5,-11
33,-2,-10
33,-1,-9
34,8,-7
34,8,-9
34,8,-12
34,7,-19
34,3,-19
34,-2,-19
34,-7.5,-19
34,-6.5,-18
34,-6,-16
34,-6,-15
34,-7,-13
34,-6,-13
34,-5,-14
34,-4.5,-15
34,-5,-16
34,-6,-16
35,-5.5,-8.5
35,-7,-9.5
35,-7,-11.5
35,-7,-13
35,-9,-14
35,-10,-14
35,-11,-13.5
35,-13,-12.5
35,-13.5,-14
35,-13,-17
35,-12.5,-19
35,-7.5,-19
36,-13,-12.5
36,-12.5,-11.5
36,-12,-11.5
36,-11,-12
36,-8.5,-12
36,-7,-11.5
37,-12.5,-11.5
37,-12,-10.5
37,-11.5,-9
37,-11,-8
37,-10,-6
37,-9,-5
37,-7,-3
37,-5,-2
38,-11.5,-16
38,-12,-17
38,-11.5,-17.5
38,-11,-17
38,-11.5,-16
39,-8.5,-16
39,-9,-17
39,-8.5,-17.5
39,-8,-17
39,-8.5,-16
